ICAO;Operador Aéreo;Etapa;Voo;Equip;Assentos;Origem;Aeroporto Origem;Início;Partida Prevista;Chegada Prevista;dt_referencia;nr_voo;nr_etapa;Tipo;Destino;Aeroporto Destino;tx_codeshare
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;2;2705;A20N;174;SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO - BELÉM - PA - BRASIL;30/01/2022;30/01/2022 16:55;30/01/2022 20:25;30/01/2022 00:00:00;2705;2;REGULAR DE PASSAGEIROS DOMÉSTICA;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2710;E195;118;SBNF;MINISTRO VICTOR KONDER - NAVEGANTES - SC - BRASIL;30/01/2022;30/01/2022 11:20;30/01/2022 12:30;30/01/2022 00:00:00;2710;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2717;AT76;70;SBSR;PROFESSOR ERIBERTO MANOEL REINO - SÃO JOSÉ DO RIO PRETO - SP - BRASIL;30/01/2022;30/01/2022 05:45;30/01/2022 06:50;30/01/2022 00:00:00;2717;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2736;A21N;214;SBJP;PRESIDENTE CASTRO PINTO - SANTA RITA - PB - BRASIL;30/01/2022;30/01/2022 03:35;30/01/2022 06:50;30/01/2022 00:00:00;2736;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2753;E195;118;SBNF;MINISTRO VICTOR KONDER - NAVEGANTES - SC - BRASIL;30/01/2022;30/01/2022 19:30;30/01/2022 20:35;30/01/2022 00:00:00;2753;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2800;E195;118;SBCF;TANCREDO NEVES - CONFINS - MG - BRASIL;30/01/2022;30/01/2022 18:10;30/01/2022 19:25;30/01/2022 00:00:00;2800;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;TAP/5127
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2810;A332;271;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;30/01/2022;30/01/2022 13:25;30/01/2022 16:30;30/01/2022 00:00:00;2810;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBRF;GUARARAPES - GILBERTO FREYRE - RECIFE - PE - BRASIL;TAP/5339
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2814;AT76;70;SBUL;TEN CEL AVIADOR CÉSAR BOMBONATO - UBERLÂNDIA - MG - BRASIL;30/01/2022;30/01/2022 19:55;30/01/2022 21:25;30/01/2022 00:00:00;2814;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2815;E295;136;SBCT;AFONSO PENA - SÃO JOSÉ DOS PINHAIS - PR - BRASIL;30/01/2022;30/01/2022 10:30;30/01/2022 11:30;30/01/2022 00:00:00;2815;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;
LAE;LÍNEA AÉREA CARGUEIRA DE COLOMBIA S.A - LANCO;2;2830;B763;0;SGAS;SILVIO PETTIROSSI INTERNATIONAL AIRPORT - ASUNCIÓN - PARAGUAI;30/01/2022;30/01/2022 21:50;30/01/2022 23:30;30/01/2022 00:00:00;2830;2;REGULAR DE CARGA INTERNACIONAL;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;
LAE;LÍNEA AÉREA CARGUEIRA DE COLOMBIA S.A - LANCO;3;2830;B763;0;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;30/01/2022;31/01/2022 00:40;31/01/2022 06:25;30/01/2022 00:00:00;2830;3;REGULAR DE CARGA INTERNACIONAL;SKBO;EL DORADO INTERNATIONAL AIRPORT - BOGOTÁ - COLÔMBIA;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2836;AT76;70;SBLO;GOVERNADOR JOSÉ RICHA - LONDRINA - PR - BRASIL;30/01/2022;30/01/2022 19:50;30/01/2022 21:10;30/01/2022 00:00:00;2836;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2845;AT76;70;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;30/01/2022;30/01/2022 13:25;30/01/2022 14:40;30/01/2022 00:00:00;2845;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBML;FRANK MILOYE MILENKOVICH - MARÍLIA - SP - BRASIL;
